Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output.BodyModel.SelectedOutput.Trunk.JointReactionForce.L5SacrumAnteroPosteriorForce
 6.133456000000001e+00, 1.307933460115877e+03
 6.150123000000001e+00, 1.328766601924160e+03
 6.166790000000001e+00, 1.338492780246965e+03
 6.183457000000000e+00, 1.329245901938787e+03
 6.200124000000000e+00, 1.305493497099747e+03
 6.216791000000000e+00, 1.262095407403957e+03
 6.233458000000000e+00, 1.182466976088444e+03
 6.250125000000000e+00, 1.157043675901348e+03
 6.266792000000000e+00, 1.182460529023858e+03
 6.283459000000000e+00, 1.199005165087067e+03
 6.300126000000000e+00, 1.275009124784124e+03
 6.316793000000000e+00, 1.314416619015682e+03
 6.333460000000001e+00, 1.257630085136162e+03
 6.350127000000001e+00, 1.324516175381258e+03
